Date,Open,High,Low,Close
1987-11-01,3.860,3.860,3.860,3.860
1987-12-01,3.952,3.952,3.952,3.952
1988-01-01,4.092,4.092,4.092,4.092
1988-02-01,4.098,4.098,4.098,4.098
1988-03-01,3.998,3.998,3.998,3.998
1988-04-01,3.965,3.965,3.965,3.965
1988-05-01,4.127,4.127,4.127,4.127
1988-06-01,4.155,4.155,4.155,4.155
1988-07-01,4.222,4.222,4.222,4.222
1988-08-01,4.292,4.292,4.292,4.292
1988-09-01,4.257,4.257,4.257,4.257
1988-10-01,4.014,4.014,4.014,4.014
1988-11-01,4.042,4.042,4.042,4.042
1988-12-01,4.107,4.107,4.107,4.107
1989-01-01,4.517,4.517,4.517,4.517
1989-02-01,4.719,4.719,4.719,4.719
1989-03-01,4.798,4.798,4.798,4.798
1989-04-01,5.054,5.054,5.054,5.054
1989-05-01,5.242,5.242,5.242,5.242
1989-06-01,5.105,5.105,5.105,5.105
1989-07-01,5.173,5.173,5.173,5.173
1989-08-01,5.195,5.195,5.195,5.195
1989-09-01,5.311,5.311,5.311,5.311
1989-10-01,5.310,5.310,5.310,5.310
1989-11-01,5.437,5.437,5.437,5.437
1989-12-01,5.618,5.618,5.618,5.618
1990-01-01,6.040,6.040,6.040,6.040
1990-02-01,6.292,6.292,6.292,6.292
1990-03-01,6.475,6.475,6.475,6.475
1990-04-01,6.629,6.629,6.629,6.629
1990-05-01,6.300,6.300,6.300,6.300
1990-06-01,6.147,6.147,6.147,6.147
1990-07-01,6.078,6.078,6.078,6.078
1990-08-01,6.484,6.484,6.484,6.484
1990-09-01,6.509,6.509,6.509,6.509
1990-10-01,6.491,6.491,6.491,6.491
1990-11-01,6.563,6.563,6.563,6.563
1990-12-01,6.601,6.601,6.601,6.601
1991-01-01,6.415,6.415,6.415,6.415
1991-02-01,6.221,6.221,6.221,6.221
1991-03-01,6.155,6.155,6.155,6.155
1991-04-01,6.016,6.016,6.016,6.016
1991-05-01,5.813,5.813,5.813,5.813
1991-06-01,5.971,5.971,5.971,5.971
1991-07-01,5.996,5.996,5.996,5.996
1991-08-01,6.107,6.107,6.107,6.107
1991-09-01,6.198,6.198,6.198,6.198
1991-10-01,6.698,6.698,6.698,6.698
1991-11-01,6.637,6.637,6.637,6.637
1991-12-01,6.370,6.370,6.370,6.370
1992-01-01,6.175,6.175,6.175,6.175
1992-02-01,6.132,6.132,6.132,6.132
1992-03-01,6.676,6.676,6.676,6.676
1992-04-01,6.545,6.545,6.545,6.545
1992-05-01,6.861,6.861,6.861,6.861
1992-06-01,6.924,6.924,6.924,6.924
1992-07-01,6.867,6.867,6.867,6.867
1992-08-01,6.854,6.854,6.854,6.854
1992-09-01,6.292,6.292,6.292,6.292
1992-10-01,6.092,6.092,6.092,6.092
1992-11-01,6.063,6.063,6.063,6.063
1992-12-01,5.680,5.680,5.680,5.680
1993-01-01,5.539,5.539,5.539,5.539
1993-02-01,4.907,4.907,4.907,4.907
1993-03-01,4.688,4.688,4.688,4.688
1993-04-01,4.845,4.845,4.845,4.845
1993-05-01,4.846,4.846,4.846,4.846
1993-06-01,4.566,4.566,4.566,4.566
1993-07-01,4.546,4.546,4.546,4.546
1993-08-01,4.479,4.479,4.479,4.479
1993-09-01,4.455,4.455,4.455,4.455
1993-10-01,4.208,4.208,4.208,4.208
1993-11-01,4.247,4.247,4.247,4.247
1993-12-01,4.136,4.136,4.136,4.136
1994-01-01,4.206,4.206,4.206,4.206
1994-02-01,4.465,4.465,4.465,4.465
1994-03-01,4.634,4.634,4.634,4.634
1994-04-01,5.062,5.062,5.062,5.062
1994-05-01,5.046,5.046,5.046,5.046
1994-06-01,5.334,5.334,5.334,5.334
1994-07-01,5.273,5.273,5.273,5.273
